AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
HIGH,Internet/Voice,East Florida,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","06 [0.81, 1.13]",1925,0.000519,0.0006449277819
LOW,Internet/Voice,So Cal North,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","02 [0.13, 0.26]",3848,0.000520,0.0005479693262
HIGH,Video/Internet/Voice,Pacific Northwest,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","09 [2.80, 440.64]",1199,0.000834,0.001038674288
HIGH,Internet Only,West Central Florida,NULL,"07 [21.71, 28.68]","02 [0.13, 0.26]",7,0.000000,0.0007032685412
LOW,Video/Internet,Wisconsin,NULL,"02 [2.13, 5.13]","05 [0.59, 0.81]",72,0.000000,0.0009903390749
LOW,Video/Internet/Voice,Michigan,"09 [16.5192, 100.0]","02 [2.13, 5.13]","01 [0.009, 0.13]",672,0.001488,0.001266631997
HIGH,Internet Only,Wisconsin,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","01 [0.009, 0.13]",761,0.000000,0.0002930598899
ZERO,Video/Internet,TN / LA / AL,"09 [16.5192, 100.0]","07 [21.71, 28.68]","08 [1.65, 2.80]",440,0.000000,0.001547574257
ZERO,Internet Only,Sierra Nevada,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","02 [0.13, 0.26]",760,0.000000,0.0006743488906
LOW,Video/Internet,Wisconsin,"04 [1.1254, 1.9139]","08 [28.685, 40.36]","03 [0.26, 0.41]",912,0.000000,0.0005851296838
ZERO,Video/Internet,West Central Florida,"01 [0.0, 0.0]","06 [16.54, 21.71]","02 [0.13, 0.26]",189,0.000000,0.001617609034
LOW,Internet/Voice,Kansas City / Lincoln,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","04 [0.41, 0.59]",299,0.000000,0.0006842513381
HIGH,Internet/Voice,Central States,"07 [5.4369, 9.1667]","00 [-0.00, 0.02]","04 [0.41, 0.59]",9,0.000000,0.0009952733479
> 0.95,Video/Internet,Kentucky,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","02 [0.13, 0.26]",70,0.000000,0.001550621574
LOW,Internet/Voice,Midwest South,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","02 [0.13, 0.26]",128,0.000000,0.0005637777315
> 0.95,Internet Only,TN / LA / AL,"08 [9.1684, 16.5179]","02 [2.13, 5.13]","08 [1.65, 2.80]",29,0.000000,0.0006937604377
> 0.95,Video/Internet/Voice,Eastern NC,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","09 [2.80, 440.64]",47,0.021277,0.001260962379
LOW,Video/Internet/Voice,Central NY,"04 [1.1254, 1.9139]","00 [-0.00, 0.02]","04 [0.41, 0.59]",2,0.000000,0.0008189742326
ZERO,Internet/Voice,East Florida,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","06 [0.81, 1.13]",36,0.000000,0.001367176526
ZERO,Internet Only,Southern New England,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","02 [0.13, 0.26]",27,0.000000,0.0006121352875
ZERO,Video/Internet,Mountain States,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","09 [2.80, 440.64]",11,0.000000,0.001086051895
ZERO,Video/Internet,Northern Ohio,"08 [9.1684, 16.5179]","07 [21.71, 28.68]","01 [0.009, 0.13]",18,0.000000,0.001791886732
ZERO,Video/Internet,Northern New England,"08 [9.1684, 16.5179]","09 [40.36, 1134.70]","01 [0.009, 0.13]",2,0.000000,0.0006123102769
> 0.95,Internet/Voice,Midwest Central,"08 [9.1684, 16.5179]","05 [12.29, 16.54]","03 [0.26, 0.41]",12,0.000000,0.0005360531506
> 0.95,Internet/Voice,West Central Florida,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","09 [2.80, 440.64]",3,0.000000,0.001083376399
LOW,Video/Internet,Pacific Northwest,"01 [0.0, 0.0]","02 [2.13, 5.13]","05 [0.59, 0.81]",3622,0.000276,0.0009661865659
HIGH,Video/Internet/Voice,East Central Florida,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","01 [0.009, 0.13]",2073,0.005789,0.002921119492
LOW,Internet Only,Sierra Nevada,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",4111,0.003405,0.001639037478
HIGH,Video/Internet/Voice,Hawaii,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","03 [0.26, 0.41]",19059,0.001259,0.001312331028
HIGH,Video/Internet/Voice,Hawaii,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","07 [1.13, 1.65]",3660,0.000820,0.001406809942
LOW,Internet Only,Sierra Nevada,"06 [3.2313, 5.4348]","03 [5.13, 8.53]","05 [0.59, 0.81]",1576,0.000000,0.0002929772842
HIGH,Video/Internet/Voice,Pacific Northwest,"01 [0.0, 0.0]","02 [2.13, 5.13]","09 [2.80, 440.64]",2972,0.001682,0.001257934494
LOW,Video/Internet,South Manhattan,"02 [0.1236, 0.597]","02 [2.13, 5.13]","04 [0.41, 0.59]",2911,0.000344,0.0008869324057
HIGH,Video/Internet,Mountain States,"09 [16.5192, 100.0]","08 [28.685, 40.36]","05 [0.59, 0.81]",1953,0.000512,0.0005890514992
LOW,Internet/Voice,South Texas,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","06 [0.81, 1.13]",733,0.001364,0.0006122646377
HIGH,Video/Internet,Southern New England,"08 [9.1684, 16.5179]","07 [21.71, 28.68]","05 [0.59, 0.81]",15320,0.000326,0.0006294154328
ZERO,Video/Internet/Voice,West Florida,"09 [16.5192, 100.0]","01 [0.02, 2.13]","01 [0.009, 0.13]",1030,0.003883,0.003475255387
HIGH,Internet/Voice,South Carolina,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","03 [0.26, 0.41]",1308,0.001529,0.0006757670566
ZERO,Internet Only,Wisconsin,NULL,"06 [16.54, 21.71]","02 [0.13, 0.26]",1060,0.001887,0.0006686303395
