AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
LOW,Internet/Voice,So Cal Central,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","01 [0.009, 0.13]",22,0.000000,0.0004337720188
ZERO,Internet/Voice,North Texas,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","05 [0.59, 0.81]",36,0.000000,0.001760516606
ZERO,Video/Internet/Voice,Central NY,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","08 [1.65, 2.80]",67,0.000000,0.001656371395
HIGH,Internet/Voice,West Central Florida,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","01 [0.009, 0.13]",30,0.000000,0.0007597875749
LOW,Internet Only,South Manhattan,"04 [1.1254, 1.9139]","08 [28.685, 40.36]","01 [0.009, 0.13]",5,0.000000,0.0002341082269
HIGH,Video/Internet,So Cal South,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","05 [0.59, 0.81]",8,0.000000,0.0003623409053
> 0.95,Video/Internet/Voice,Wisconsin,"07 [5.4369, 9.1667]","02 [2.13, 5.13]","08 [1.65, 2.80]",2,0.000000,0.0008965968931
> 0.95,Video/Internet/Voice,Southern New England,"03 [0.5976, 1.1236]","01 [0.02, 2.13]","03 [0.26, 0.41]",6,0.000000,0.001701412443
LOW,Internet/Voice,Manhattan / Staten Is / Mt Ver,"05 [1.9149, 3.2258]","00 [-0.00, 0.02]","05 [0.59, 0.81]",1,0.000000,0.0003575354149
> 0.95,Video/Internet,Western NY,"02 [0.1236, 0.597]","08 [28.685, 40.36]","05 [0.59, 0.81]",3,0.000000,0.0007869390699
> 0.95,Internet/Voice,So Cal South,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","03 [0.26, 0.41]",3,0.000000,0.0003137047207
> 0.95,Video/Internet/Voice,Sierra Nevada,"09 [16.5192, 100.0]","07 [21.71, 28.68]","08 [1.65, 2.80]",1,0.000000,0.001019047069
ZERO,Internet/Voice,So Cal South,"02 [0.1236, 0.597]","01 [0.02, 2.13]","08 [1.65, 2.80]",1,0.000000,0.0009918416367
HIGH,Video/Internet,Kentucky,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","04 [0.41, 0.59]",16832,0.000713,0.001036093412
HIGH,Internet Only,Pacific Northwest,"01 [0.0, 0.0]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",321094,0.002152,0.002410880966
HIGH,Internet Only,East Central Florida,"04 [1.1254, 1.9139]","03 [5.13, 8.53]","06 [0.81, 1.13]",23228,0.000344,0.000485810733
HIGH,Video/Internet/Voice,Minnesota,"02 [0.1236, 0.597]","04 [8.53, 12.29]","03 [0.26, 0.41]",5020,0.000996,0.0009238688384
HIGH,Internet Only,Central NY,"09 [16.5192, 100.0]","03 [5.13, 8.53]","02 [0.13, 0.26]",46701,0.000171,0.0003358667644
HIGH,Internet Only,Michigan,"02 [0.1236, 0.597]","02 [2.13, 5.13]","05 [0.59, 0.81]",9887,0.000101,0.0003403368541
HIGH,Internet Only,Western NY,"07 [5.4369, 9.1667]","04 [8.53, 12.29]","09 [2.80, 440.64]",10727,0.000746,0.0005381168214
HIGH,Video/Internet,Western NY,"09 [16.5192, 100.0]","05 [12.29, 16.54]","07 [1.13, 1.65]",17777,0.000844,0.0009077512239
HIGH,Internet Only,Hawaii,"09 [16.5192, 100.0]","03 [5.13, 8.53]","03 [0.26, 0.41]",3264,0.000613,0.0003956226739
HIGH,Video/Internet,Sierra Nevada,"07 [5.4369, 9.1667]","04 [8.53, 12.29]","05 [0.59, 0.81]",9712,0.000927,0.0008224206236
LOW,Video/Internet/Voice,East Florida,"01 [0.0, 0.0]","03 [5.13, 8.53]","09 [2.80, 440.64]",442,0.000000,0.001679209426
HIGH,Internet Only,West Florida,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","05 [0.59, 0.81]",2939,0.000681,0.0005231912183
